ç
"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Rural 2007 (MWh)"
"Paraíso do Sul","4314027","-29.671700000000","-53.143999999990","9.429"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","3.129"
"Parobé","4314050","-29.624300000000","-50.831200000000","1.251"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","3.010"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","7.370"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","35.398"
"Paulo Bento","4314134","-27.697800000000","-52.426099999990","1.294"
"Paverama","4314159","-29.548500000000","-51.733899999990","700"
"Pedras Altas","4314175","-31.721699999990","-53.583799999990","1.500"
"Pedro Osório","4314209","-31.864200000000","-52.818399999990","1.929"
"Pejuçara","4314308","-28.428300000000","-53.657899999990","48"
"Pelotas","4314407","-31.764900000000","-52.337100000000","20.206"
"Picada Café","4314423","-29.446400000000","-51.136699999990","1.255"
"Pinhal da Serra","4314464","-27.863399999990","-51.170200000000","672"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","1.598"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","2.586"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","1.432"
"Pirapó","4314555","-28.043900000000","-55.200099999990","1.544"
"Piratini","4314605","-31.447299999990","-53.097299999990","3.844"
"Planalto","4314704","-27.329699999990","-53.057500000000","3.004"
"Ponte Preta","4314787","-27.658700000000","-52.484800000000","1.493"
"Portão","4314803","-29.701499999990","-51.242899999990","1.397"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","3.022"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","502"
"Porto Mauá","4315057","-27.579599999990","-54.665700000000","1.016"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","296"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","5.115"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","1.502"
"Protásio Alves","4315172","-28.757200000000","-51.475700000000","1.936"
"Quaraí","4315305","-30.384000000000","-56.448300000000","8.692"
"Quatro Irmãos","4315313","-27.816299999990","-52.441899999990","1.109"
"Quevedos","4315321","-29.350400000000","-54.078899999990","960"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","226"
"Redentora","4315404","-27.664000000000","-53.640700000000","2.048"
"Relvado","4315453","-29.116399999990","-52.077800000000","988"
"Restinga Sêca","4315503","-29.818800000000","-53.380699999990","3.351"
"Rio dos Índios","4315552","-27.297300000000","-52.841700000000","1.650"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","16.539"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","10.993"
"Riozinho","4315750","-29.638999999990","-50.448799999990","1.526"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","4.630"
"Rolador","4315958","-28.257670000000","-54.818640000000","378"
"Rolante","4316006","-29.646200000000","-50.581899999990","3.464"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","875"
"Rondinha","4316204","-27.831499999990","-52.908099999990","3.346"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","2.016"
"Rosário do Sul","4316402","-30.251500000000","-54.922100000000","7.708"
"Sagrada Família","4316428","-27.708500000000","-53.135100000000","852"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","18"
"Salto do Jacuí","4316451","-29.095099999990","-53.213299999990","7.242"
"Salvador das Missões","4316477","-28.123300000000","-54.837299999990","771"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","539"
"Sananduva","4316600","-27.946999999990","-51.807899999990","6.571"
"Santa Bárbara do Sul","4316709","-28.365300000000","-53.250999999990","4.424"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","165"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","12.546"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","1.046"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","15.715"
