,,,,
Município,ibge,latitude,longitude,/Energia Elétr...umo/Residencial 2012 (MWh)
Três Palmeiras,4321857,-27.613900000000,-52.843699999990,1429
Três Passos,4321907,-27.455500000000,-53.929600000000,14056
Trindade do Sul,4321956,-27.523900000000,-52.895600000000,2201
Triunfo,4322004,-29.929099999990,-51.707500000000,10659
Tucunduva,4322103,-27.657299999990,-54.443899999990,3321
Tunas,4322152,-29.103899999990,-52.953800000000,106
Tupanci do Sul,4322186,-27.924099999990,-51.538300000000,391
Tupanciretã,4322202,-29.085799999990,-53.844499999990,12247
Tupandi,4322251,-29.477200000000,-51.417400000000,2186
Tuparendi,4322301,-27.759799999990,-54.481400000000,4205
Turuçu,4322327,-31.417300000000,-52.170600000000,1003
Ubiretama,4322343,-28.040400000000,-54.685899999990,343
União da Serra,4322350,-28.783300000000,-52.023800000000,238
Unistalda,4322376,-29.039999999990,-55.151699999990,711
Uruguaiana,4322400,-29.761399999990,-57.085299999990,90181
Vacaria,4322509,-28.507899999990,-50.941800000000,37409
Vale do Sol,4322533,-29.596699999990,-52.683900000000,1933
Vale Real,4322541,-29.391900000000,-51.255899999990,3674
Vanini,4322558,-28.475800000000,-51.844700000000,847
Venâncio Aires,4322608,-29.614300000000,-52.193199999990,40991
Vera Cruz,4322707,-29.718399999990,-52.515200000000,13600
Veranópolis,4322806,-28.931200000000,-51.551600000000,15843
Vespasiano Correa,4322855,-29.065500000000,-51.862500000000,631
Viadutos,4322905,-27.571600000000,-52.021099999990,1815
Viamão,4323002,-30.081900000000,-51.019399999990,131684
Vicente Dutra,4323101,-27.160799999990,-53.402200000000,1478
