ç
"Município","ibge","latitude","longitude","/Energia Elétr...umo/Residencial 1995 (MWh)"
"Novo Barreiro","4313490","-27.907699999990","-53.110300000000","177"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","130.555"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","711"
"Osório","4313508","-29.888100000000","-50.266700000000","19.070"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","763"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","7.080"
"Palmeira das Missões","4313706","-27.900600000000","-53.313400000000","13.110"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","940"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","3.080"
"Paraí","4314001","-28.596399999990","-51.789600000000","1.228"
"Paraíso do Sul","4314027","-29.671700000000","-53.143999999990","75"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","579"
"Parobé","4314050","-29.624300000000","-50.831200000000","16.135"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","422"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","75.814"
"Paverama","4314159","-29.548500000000","-51.733899999990","695"
"Pedro Osório","4314209","-31.864200000000","-52.818399999990","3.875"
"Pejuçara","4314308","-28.428300000000","-53.657899999990","1.318"
"Pelotas","4314407","-31.764900000000","-52.337100000000","155.983"
"Picada Café","4314423","-29.446400000000","-51.136699999990","1.749"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","306"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","236"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","3.401"
"Pirapó","4314555","-28.043900000000","-55.200099999990","276"
"Piratini","4314605","-31.447299999990","-53.097299999990","2.655"
"Planalto","4314704","-27.329699999990","-53.057500000000","2.136"
"Ponte Preta","4314787","-27.658700000000","-52.484800000000","126"
"Portão","4314803","-29.701499999990","-51.242899999990","10.327"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","988.730"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","1.158"
"Porto Mauá","4315057","-27.579599999990","-54.665700000000","484"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","227"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","2.207"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","489"
"Protásio Alves","4315172","-28.757200000000","-51.475700000000","193"
"Quaraí","4315305","-30.384000000000","-56.448300000000","8.979"
"Quevedos","4315321","-29.350400000000","-54.078899999990","164"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","628"
"Redentora","4315404","-27.664000000000","-53.640700000000","931"
"Relvado","4315453","-29.116399999990","-52.077800000000","281"
"Restinga Sêca","4315503","-29.818800000000","-53.380699999990","14"
"Rio dos Índios","4315552","-27.297300000000","-52.841700000000","97"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","89.503"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","11.826"
"Riozinho","4315750","-29.638999999990","-50.448799999990","800"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","2.526"
"Rolante","4316006","-29.646200000000","-50.581899999990","4.921"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","2.156"
"Rondinha","4316204","-27.831499999990","-52.908099999990","919"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","1.185"
"Rosário do Sul","4316402","-30.251500000000","-54.922100000000","14.591"
"Sagrada Família","4316428","-27.708500000000","-53.135100000000","88"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","813"
"Salto do Jacuí","4316451","-29.095099999990","-53.213299999990","3.507"
"Salvador das Missões","4316477","-28.123300000000","-54.837299999990","369"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","54"
"Sananduva","4316600","-27.946999999990","-51.807899999990","3.899"
"Santa Bárbara do Sul","4316709","-28.365300000000","-53.250999999990","3.129"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","48.700"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","133.518"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","1.097"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","29.873"
"Santa Tereza","4317251","-29.165500000000","-51.735100000000","380"
"Santa Vitória do Palmar","4317301","-33.524999999990","-53.371699999990","14.320"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","1.022"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","35.854"
"Santiago","4317400","-29.189699999990","-54.866599999990","20.136"
"Santo Ângelo","4317509","-28.300100000000","-54.266800000000","36.399"
"Santo Antônio da Patrulha","4317608","-29.826799999990","-50.517499999990","12.376"
"Santo Antônio das Missões","4317707","-28.513999999990","-55.225099999990","120"
"Santo Antônio do Palma","4317558","-28.495600000000","-52.026699999990","129"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","4.874"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","3.461"
"São Borja","4318002","-28.657800000000","-56.003599999990","27.418"
"São Domingos do Sul","4318051","-28.531199999990","-51.886000000000","397"
"São Francisco de Assis","4318101","-29.554700000000","-55.125300000000","4.729"
"São Francisco de Paula","4318200","-29.440400000000","-50.582799999990","5.809"
"São Gabriel","4318309","-30.333700000000","-54.321700000000","21.843"
"São Jerônimo","4318408","-29.971599999990","-51.725099999990","7.745"
"São João da Urtiga","4318424","-27.819500000000","-51.825699999990","659"
"São Jorge","4318440","-28.498400000000","-51.706400000000","480"
"São José das Missões","4318457","-27.778900000000","-53.122599999990","167"
"São José do Hortêncio","4318481","-29.527999999990","-51.245000000000","498"
"São José do Inhacorá","4318499","-27.725100000000","-54.127499999990","253"
"São José do Norte","4318507","-32.015099999990","-52.033099999990","4.225"
"São José do Ouro","4318606","-27.770700000000","-51.596600000000","1.761"
"São José dos Ausentes","4318622","-28.747599999990","-50.067700000000","384"
"São Leopoldo","4318705","-29.754500000000","-51.149799999990","102.900"
"São Lourenço do Sul","4318804","-31.356400000000","-51.971499999990","10.198"
"São Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","14.941"
"São Marcos","4319000","-28.967700000000","-51.069600000000","7.283"
"São Martinho","4319109","-27.711200000000","-53.969900000000","1.777"
"São Martinho da Serra","4319125","-29.539700000000","-53.859000000000","220"
"São Nicolau","4319208","-28.183399999990","-55.265400000000","1.040"
"São Paulo das Missões","4319307","-28.019500000000","-54.940399999990","839"
"São Pedro do Butiá","4319372","-28.124300000000","-54.892600000000","449"
"São Pedro do Sul","4319406","-29.620200000000","-54.185499999990","4.772"
"São Sebastião do Caí","4319505","-29.588500000000","-51.374899999990","8.864"
"São Sepé","4319604","-30.164300000000","-53.560299999990","8.365"
"São Valentim","4319703","-27.558299999990","-52.523699999990","818"
"São Valentim do Sul","4319711","-29.045100000000","-51.768400000000","195"
"São Valério do Sul","4319737","-27.790600000000","-53.936799999990","263"
"São Vendelino","4319752","-29.372900000000","-51.367500000000","288"
"São Vicente do Sul","4319802","-29.688199999990","-54.682600000000","2.000"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","30.245"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","51.887"
"Sarandi","4320107","-27.942000000000","-52.923099999990","5.713"
"Seberi","4320206","-27.482900000000","-53.402600000000","2.075"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","535"
"Segredo","4320263","-29.352300000000","-52.976700000000","541"
"Selbach","4320305","-28.629400000000","-52.949800000000","139"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","697"
"Serafina Corrêa","4320404","-28.712599999990","-51.935299999990","3.387"
"Sertão","4320503","-27.979800000000","-52.258800000000","1.550"
"Sertão Santana","4320552","-30.456199999990","-51.601700000000","826"
