0,Município,ibge,latitude,longitude,MWh,ano
347,Sobradinho,4320701,-29.419400000000,-53.032600000000,12.509,1995
348,Soledade,4320800,-28.830600000000,-52.513100000000,29.422,1995
349,Tapejara,4320909,-28.065200000000,-52.009700000000,21.843,1995
350,Tapera,4321006,-28.627700000000,-52.861199999990,19.606,1995
351,Tapes,4321105,-30.668299999990,-51.399099999990,18.076,1995
352,Taquara,4321204,-29.650500000000,-50.775300000000,52.599,1995
353,Taquari,4321303,-29.794300000000,-51.865299999990,71.256,1995
354,Taquaruçu do Sul,4321329,-27.400400000000,-53.470300000000,1.269,1995
355,Tavares,4321352,-31.284300000000,-51.088000000000,2.560,1995
356,Tenente Portela,4321402,-27.371099999990,-53.758499999990,10.103,1995
357,Terra de Areia,4321436,-29.578199999990,-50.064399999990,7.988,1995
358,Teutônia,4321451,-29.448200000000,-51.804400000000,377,1995
359,Tiradentes do Sul,4321477,-27.402200000000,-54.081400000000,3.597,1995
360,Torres,4321501,-29.333400000000,-49.733300000000,45.457,1995
361,Tramandaí,4321600,-29.984100000000,-50.132199999990,39.642,1995
362,Travesseiro,4321626,-29.297699999990,-52.053199999990,21,1995
363,Três Arroios,4321634,-27.500299999990,-52.144799999990,1.984,1995
364,Três Cachoeiras,4321667,-29.448699999990,-49.927500000000,6.524,1995
365,Três Coroas,4321709,-29.513700000000,-50.773899999990,24.508,1995
366,Três de Maio,4321808,-27.780000000000,-54.235700000000,28.551,1995
367,Três Forquilhas,4321832,-29.538399999990,-50.070799999990,1.664,1995
368,Três Palmeiras,4321857,-27.613900000000,-52.843699999990,2.126,1995
369,Três Passos,4321907,-27.455500000000,-53.929600000000,39.515,1995
370,Trindade do Sul,4321956,-27.523900000000,-52.895600000000,2.205,1995
371,Triunfo,4322004,-29.929099999990,-51.707500000000,880.166,1995
372,Tucunduva,4322103,-27.657299999990,-54.443899999990,6.483,1995
373,Tunas,4322152,-29.103899999990,-52.953800000000,101,1995
374,Tupanci do Sul,4322186,-27.924099999990,-51.538300000000,772,1995
375,Tupanciretã,4322202,-29.085799999990,-53.844499999990,17.652,1995
376,Tupandi,4322251,-29.477200000000,-51.417400000000,1.796,1995
377,Tuparendi,4322301,-27.759799999990,-54.481400000000,9.593,1995
378,União da Serra,4322350,-28.783300000000,-52.023800000000,663,1995
379,Uruguaiana,4322400,-29.761399999990,-57.085299999990,222.966,1995
