"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Total 2007 (MWh)"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","5.653"
"Parobé","4314050","-29.624300000000","-50.831200000000","84.387"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","3.671"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","9.954"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","366.115"
"Paulo Bento","4314134","-27.697800000000","-52.426099999990","10.457"
"Paverama","4314159","-29.548500000000","-51.733899999990","4.643"
"Pedras Altas","4314175","-31.721699999990","-53.583799999990","2.409"
"Pedro Osório","4314209","-31.864200000000","-52.818399999990","7.701"
"Pejuçara","4314308","-28.428300000000","-53.657899999990","3.932"
"Pelotas","4314407","-31.764900000000","-52.337100000000","475.577"
"Picada Café","4314423","-29.446400000000","-51.136699999990","15.943"
"Pinhal da Serra","4314464","-27.863399999990","-51.170200000000","1.528"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","3.739"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","4.102"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","35.528"
"Pirapó","4314555","-28.043900000000","-55.200099999990","2.382"
"Piratini","4314605","-31.447299999990","-53.097299999990","14.803"
"Planalto","4314704","-27.329699999990","-53.057500000000","11.272"
"Ponte Preta","4314787","-27.658700000000","-52.484800000000","2.876"
"Portão","4314803","-29.701499999990","-51.242899999990","86.775"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","3.192.501"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","3.253"
"Porto Mauá","4315057","-27.579599999990","-54.665700000000","2.710"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","986"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","11.266"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","7.447"
"Protásio Alves","4315172","-28.757200000000","-51.475700000000","3.495"
"Putinga","4315206","-29.004500000000","-52.156900000000","5.884"
"Quaraí","4315305","-30.384000000000","-56.448300000000","27.448"
"Quatro Irmãos","4315313","-27.816299999990","-52.441899999990","2.108"
"Quevedos","4315321","-29.350400000000","-54.078899999990","1.943"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","2.310"
"Redentora","4315404","-27.664000000000","-53.640700000000","4.928"
"Relvado","4315453","-29.116399999990","-52.077800000000","2.599"
"Restinga Sêca","4315503","-29.818800000000","-53.380699999990","3.421"
"Rio dos Índios","4315552","-27.297300000000","-52.841700000000","2.472"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","445.411"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","48.098"
"Riozinho","4315750","-29.638999999990","-50.448799999990","7.269"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","31.466"
"Rolador","4315958","-28.257670000000","-54.818640000000","435"
"Rolante","4316006","-29.646200000000","-50.581899999990","25.711"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","6.952"
"Rondinha","4316204","-27.831499999990","-52.908099999990","6.215"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","5.385"
"Rosário do Sul","4316402","-30.251500000000","-54.922100000000","43.993"
"Sagrada Família","4316428","-27.708500000000","-53.135100000000","1.670"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","2.420"
"Salto do Jacuí","4316451","-29.095099999990","-53.213299999990","17.997"
"Salvador das Missões","4316477","-28.123300000000","-54.837299999990","3.093"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","727"
"Sananduva","4316600","-27.946999999990","-51.807899999990","25.669"
"Santa Bárbara do Sul","4316709","-28.365300000000","-53.250999999990","12.685"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","190"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","324.768"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","2.177"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","411.714"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","10.412"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","152.005"
"Santa Tereza","4317251","-29.165500000000","-51.735100000000","3.338"
"Santa Vitória do Palmar","4317301","-33.524999999990","-53.371699999990","80.252"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","4.896"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","87.120"
"Santiago","4317400","-29.189699999990","-54.866599999990","52.321"
"Santo Ângelo","4317509","-28.300100000000","-54.266800000000","138.520"
"Santo Antônio da Patrulha","4317608","-29.826799999990","-50.517499999990","58.407"
"Santo Antônio das Missões","4317707","-28.513999999990","-55.225099999990","4.084"
"Santo Antônio do Palma","4317558","-28.495600000000","-52.026699999990","2.815"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","15.847"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","28.326"
"Santo Expedito do Sul","4317954","-27.907399999990","-51.643300000000","1.374"
"São Borja","4318002","-28.657800000000","-56.003599999990","139.060"
"São Domingos do Sul","4318051","-28.531199999990","-51.886000000000","2.076"
"São Francisco de Assis","4318101","-29.554700000000","-55.125300000000","16.720"
"São Francisco de Paula","4318200","-29.440400000000","-50.582799999990","32.274"
"São Gabriel","4318309","-30.333700000000","-54.321700000000","64.596"
